opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-07-26	11	6	virtual_swap	n/a	BTC	Avalanche	0	0.00424	$117964.00	$500.17	0.004664	UNDEAD	Avalanche	230504	0	$0.00	$0.00
2025-07-27	12	15	https://snowtrace.io/tx/0xd0ee85ea7d1215bee5827591972e6a654adbfa3f7eb71a90ed3f14dd3793f582	n/a	UNDEAD	Avalanche	124000	0	$0.002226	$276.02	136400	BTC	Avalanche	0.00212	0	$118085.00	$250.34
2025-07-27	13	1	virtual_swap	n/a	BTC	Avalanche	0	0.00424	$118085.00	$500.68	0.004664	UNDEAD	Avalanche	233952	0	$0.00	$0.00
2025-08-05	14	7	https://snowtrace.io/tx/0x601281764f020e22721fecd9b60b3d31916fe1e13dca7d0ce74524667645c9b1	n/a	UNDEAD	Avalanche	57500	0	$0.0200	$1150.00	63250	BTC	Avalanche	0.008595	0	$113828.00	$978.35
2025-08-05	15	0	https://snowtrace.io/tx/0x8c314ed5dc065c907ccfc5fa37b54fb902e32fc2f120621dabf7505ce86760b1	n/a	BTC	Avalanche	0.0044	0	$113828.00	$500.84	0.00484	UNDEAD	Avalanche	28958	0	$0.0200	$579.16
2025-08-12	16	8	https://snowtrace.io/tx/0xaeb804947ad382ffb45fb3531aa6d6e3cf4f71de4ae37b382fd47b20b4e3cc24	n/a	UNDEAD	Avalanche	113000	0	$0.0100	$1130.00	124300	BTC	Avalanche	0.008329	0	$118881.00	$990.16
2025-08-12	17	0	https://snowtrace.io/tx/0x0fdc5963c237ce49bcf5db6e0555b2a370f964ad03a5fd99c14833fcaaf28624	n/a	BTC	Avalanche	0.00417	0	$118881.00	$495.73	0.0045870002	UNDEAD	Avalanche	55895	0	$0.0100	$558.95
2025-08-15	18	10	https://snowtrace.io/tx/0x6f7f2eaae6e10b8cecaa8b10d78a75b7833977b339f13919472d437d4456bc24	n/a	UNDEAD	Avalanche	128000	0	$0.00	$0.00	140800	BTC	Avalanche	0.004261	0	$118774.00	$506.10
2025-08-15	19	9	virtual_swap	n/a	BTC	Avalanche	0	0.004261	$118774.00	$506.10	0.0046871	UNDEAD	Avalanche	125956	0	$0.00	$0.00
2025-08-20	20	10	https://snowtrace.io/tx/0x343b62465de21d839e3f8eb93951a3866e9541f00875d000d5e1472eeb3a5073	n/a	UNDEAD	Avalanche	124000	0	$0.00	$0.00	136400	BTC	Avalanche	0.004376	0	$113847.00	$498.19
2025-08-20	21	0	virtual_swap	2026-08-06	BTC	Avalanche	0	0.00094243576	$64816.00	$61.08	0.0010366794	UNDEAD	Avalanche	118870	0	$0.000514	$61.10
